team,players_used,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKA,PKsv,PKm,PKSave%,PSxG,PSxG/SoT,PSxG+/-,/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,P1/3,PPA,CrsPA,PrgP,PAtt,PLive,Dead,PFK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,SCA PassLive,SCA PassDead,SCA TO,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA TO,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,1,38,38,3420,38,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,40.0,0.28,-2.0,-0.05,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,16,3,4,71.9,69.1,0.12,12.1,11.9,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.8,46.8,10.2,443,1637,459,62,2049,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2,568,343,238,212,118,249,506,49.2,257,362,86,276,237,805,599,22,59.3,25909,1994,6632,11452,8015,1296,25905,751,351,46.7,290,38.6,15923,84011,44201,824,583,281,526,378,18101,2024,51,0,0,373,435,343,3,5,1,1984,486,559,46.5
Aston Villa,2,38,38,3420,38,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7,42.8,0.25,0.8,0.02,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,18,3,4,50.2,47.2,0.11,-1.2,-1.2,13782,17396,79.2,244084,87581,6109,6945,88.0,5981,6936,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,1242,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,13,49.3,21501,2783,7912,9077,4706,746,21496,681,292,42.9,279,41.0,12294,65583,33156,637,434,174,565,371,13587,1227,80,1,0,417,498,338,4,6,4,1847,442,465,48.7
Bournemouth,2,38,38,3420,38,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0,63.6,0.29,-4.4,-0.11,37,358,126,35.2,9.42,3.32,0.1,0.29,15.5,14,0,0,38.6,38.6,0.11,-1.6,-1.6,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.5,26.3,-4.5,261,850,237,75,1006,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342,616,16.21,445,45,52,43,24,7,64,1.68,44,5,4,8,2,1,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,10,40.4,19950,2934,8004,7933,4256,699,19950,735,321,43.7,344,46.8,10336,55322,27419,504,388,144,589,367,11617,986,68,0,0,391,365,371,0,7,3,1942,521,539,49.2
Brentford,1,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,48.0,0.24,5.0,0.13,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,7,8,56.8,50.6,0.13,-0.8,-1.6,11317,15551,72.8,209961,87006,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.7,30.5,-2.7,284,922,279,87,1131,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,12,43.8,19750,2632,7290,7802,4835,827,19742,597,264,44.2,248,41.5,10408,49009,23987,392,299,102,520,335,11203,1121,57,1,1,354,399,337,7,2,3,1959,665,618,51.8
Brighton,2,38,38,3420,38,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0,42.7,0.27,-4.3,-0.11,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,12,6,6,73.3,68.9,0.12,-5.3,-6.9,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1849,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383,1074,28.26,819,73,80,63,27,12,114,3.0,83,3,12,9,6,1,616,340,270,242,104,266,560,47.5,294,392,104,288,303,919,432,15,60.2,26727,2471,7844,12212,6873,1102,26721,724,343,47.4,279,38.5,16331,83719,43965,809,547,250,558,324,18991,1828,58,0,0,427,407,340,4,8,6,2013,444,387,53.4
Chelsea,2,38,38,3420,38,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0,47.0,0.3,3.0,0.08,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,3,3,49.5,47.2,0.1,-12.5,-13.2,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,1737,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,740,445,363,267,110,333,654,50.9,321,466,108,358,341,1081,661,20,58.7,27166,2564,8461,12056,6850,958,27163,833,375,45.0,352,42.3,16537,83505,43593,829,622,216,568,381,19065,1729,81,3,2,397,462,445,3,1,3,2024,493,453,52.1
Crystal Palace,3,38,38,3420,38,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0,44.7,0.26,-1.3,-0.03,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,23,1,3,39.3,36.8,0.09,-1.3,0.2,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,1243,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,5,46.3,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,82,3,2,446,479,421,2,4,3,2093,496,578,46.2
Everton,2,38,38,3420,38,57,1.5,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7,60.4,0.3,3.4,0.09,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,12,3,3,45.2,42.8,0.1,-13.2,-13.8,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,24,32.4,26.9,-8.4,308,964,224,67,1052,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311,735,19.34,495,84,37,54,45,20,59,1.55,41,5,5,2,4,2,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17,42.8,20233,2527,7219,8417,4830,742,20229,669,305,45.6,296,44.2,10479,56737,27858,500,391,137,605,300,11708,1042,81,2,1,396,382,424,3,6,0,2049,582,613,48.7
Fulham,2,38,38,3420,38,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5,60.1,0.28,9.1,0.24,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,5,9,46.2,39.1,0.1,5.8,7.9,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,33,28.5,23.7,4.5,306,1044,284,97,1326,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,623,349,294,228,101,299,578,51.7,279,455,125,330,340,963,749,13,48.8,22160,2563,7461,9519,5414,758,22151,592,269,45.4,238,40.2,12249,68133,35319,662,471,124,536,379,13846,1316,80,1,0,411,405,349,8,8,2,1979,511,550,48.2
Leeds United,2,38,38,3420,38,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0,64.1,0.32,-12.9,-0.34,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,19,1,3,47.4,45.0,0.1,-2.4,-1.0,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,31,31.9,27.3,-0.9,337,1086,270,70,1429,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18,47.0,21642,2125,6971,9290,5587,796,21639,688,268,39.0,328,47.7,11342,55021,27062,555,379,146,602,421,12329,1418,89,3,2,467,405,480,2,6,1,2206,586,607,49.1
