key,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
2019-09-22 Aston Villa-Arsenal,Arsenal,Aston Villa,2019-09-22,16:30:00,Matchweek 6,Sun,Away,L,2,3,0,0,7.49,4.9,1.42,0.11652052504901404,0.19677081386009157,0.6867086610913536,0.1,0.05,0.25,0.55,0.3,0.15,0.5,1.0,0.1,0.7,0.2,0.9,0.7,0.8,0.15,0.8,0.25,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.75,-0.45,-0.6,-0.35,-0.2,-0.65,0.25,0.75,-0.65,0.0,-0.55,0.35,0.29999999999999993,0.75,-0.5,0.5,-0.55
2020-07-21 Aston Villa-Arsenal,Arsenal,Aston Villa,2020-07-21,20:15:00,Matchweek 37,Tue,Home,W,1,0,1,1,3.24,3.78,2.11,0.29897953493213686,0.24455564252671272,0.45646482254066983,0.1,0.05,0.25,0.55,0.3,0.15,0.5,1.0,0.1,0.7,0.2,0.9,0.7,0.8,0.15,0.8,0.25,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.75,-0.45,-0.6,-0.35,-0.2,-0.65,0.25,0.75,-0.65,0.0,-0.55,0.35,0.29999999999999993,0.75,-0.5,0.5,-0.55
2019-10-06 Bournemouth-Arsenal,Arsenal,Bournemouth,2019-10-06,14:00:00,Matchweek 8,Sun,Away,L,0,1,0,0,6.68,4.97,1.45,0.1313424796483417,0.18745009496025894,0.6812074253918483,0.05,0.4,0.7,0.5,0.15,0.45,0.2,0.8,0.2,0.95,0.85,0.75,0.85,0.45,0.6,0.45,0.1,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.7999999999999999,-0.09999999999999998,-0.15000000000000002,-0.4,-0.35,-0.35000000000000003,-0.04999999999999999,0.55,-0.55,0.25,0.09999999999999998,0.19999999999999996,0.44999999999999996,0.4,-0.050000000000000044,0.15000000000000002,-0.7000000000000001
2019-12-26 Bournemouth-Arsenal,Arsenal,Bournemouth,2019-12-26,15:00:00,Matchweek 19,Thu,Home,D,1,1,0,1,3.5,3.85,2.01,0.277578825882763,0.249642884547718,0.47277828956905765,0.05,0.4,0.7,0.5,0.15,0.45,0.2,0.8,0.2,0.95,0.85,0.75,0.85,0.45,0.6,0.45,0.1,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.7999999999999999,-0.09999999999999998,-0.15000000000000002,-0.4,-0.35,-0.35000000000000003,-0.04999999999999999,0.55,-0.55,0.25,0.09999999999999998,0.19999999999999996,0.44999999999999996,0.4,-0.050000000000000044,0.15000000000000002,-0.7000000000000001
2019-12-05 Brighton-Arsenal,Arsenal,Brighton,2019-12-05,20:15:00,Matchweek 15,Thu,Away,W,2,1,1,0,5.41,4.23,1.61,0.167988229398464,0.22957954929716068,0.6024322213039124,0.5,0.35,0.1,0.4,0.05,0.2,0.75,0.85,0.05,0.05,0.2,0.5,0.1,0.9,0.8,0.65,0.35,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.35,-0.15000000000000002,-0.75,-0.5,-0.45,-0.6000000000000001,0.5,0.6,-0.7,-0.6499999999999999,-0.55,-0.050000000000000044,-0.30000000000000004,0.85,0.15000000000000002,0.35000000000000003,-0.45000000000000007
2020-06-20 Brighton-Arsenal,Arsenal,Brighton,2020-06-20,15:00:00,Matchweek 30,Sat,Home,W,2,1,1,1,3.04,3.37,2.39,0.322615455209114,0.2851910060002393,0.3921935387911223,0.5,0.35,0.1,0.4,0.05,0.2,0.75,0.85,0.05,0.05,0.2,0.5,0.1,0.9,0.8,0.65,0.35,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.35,-0.15000000000000002,-0.75,-0.5,-0.45,-0.6000000000000001,0.5,0.6,-0.7,-0.6499999999999999,-0.55,-0.050000000000000044,-0.30000000000000004,0.85,0.15000000000000002,0.35000000000000003,-0.45000000000000007
2019-08-17 Burnley-Arsenal,Arsenal,Burnley,2019-08-17,12:30:00,Matchweek 2,Sat,Away,L,1,2,0,0,9.48,5.49,1.33,0.09893815280470342,0.16745963647664017,0.7336022107191035,0.25,0.1,0.3,0.35,0.3,0.1,1.0,0.95,0.4,0.1,0.1,0.6,0.05,0.5,0.5,0.95,0.5,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6,-0.4,-0.55,-0.55,-0.2,-0.7000000000000001,0.75,0.7,-0.35,-0.6,-0.65,0.04999999999999993,-0.35000000000000003,0.45,-0.15000000000000002,0.6499999999999999,-0.30000000000000004
2020-02-02 Burnley-Arsenal,Arsenal,Burnley,2020-02-02,14:00:00,Matchweek 25,Sun,Home,D,0,0,0,1,3.75,3.53,2.02,0.2529393556718734,0.26729916965586625,0.47976147467178953,0.25,0.1,0.3,0.35,0.3,0.1,1.0,0.95,0.4,0.1,0.1,0.6,0.05,0.5,0.5,0.95,0.5,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6,-0.4,-0.55,-0.55,-0.2,-0.7000000000000001,0.75,0.7,-0.35,-0.6,-0.65,0.04999999999999993,-0.35000000000000003,0.45,-0.15000000000000002,0.6499999999999999,-0.30000000000000004
2019-12-29 Chelsea-Arsenal,Arsenal,Chelsea,2019-12-29,14:00:00,Matchweek 20,Sun,Away,W,2,1,1,0,2.35,3.73,2.86,0.4043159204819918,0.2585787000951093,0.33710537942241986,0.65,0.9,0.8,0.6,0.95,0.95,0.1,0.1,0.8,0.55,1.0,0.15,0.75,0.25,0.85,0.15,1.0,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.19999999999999996,0.4,-0.04999999999999993,-0.30000000000000004,0.44999999999999996,0.1499999999999999,-0.15,-0.15,0.050000000000000044,-0.1499999999999999,0.25,-0.4,0.35,0.2,0.19999999999999996,-0.15,0.19999999999999996
2020-01-21 Chelsea-Arsenal,Arsenal,Chelsea,2020-01-21,20:15:00,Matchweek 24,Tue,Home,D,2,2,0,1,1.74,3.95,4.71,0.5623982541616889,0.23958386556432368,0.19801788027443631,0.65,0.9,0.8,0.6,0.95,0.95,0.1,0.1,0.8,0.55,1.0,0.15,0.75,0.25,0.85,0.15,1.0,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.19999999999999996,0.4,-0.04999999999999993,-0.30000000000000004,0.44999999999999996,0.1499999999999999,-0.15,-0.15,0.050000000000000044,-0.1499999999999999,0.25,-0.4,0.35,0.2,0.19999999999999996,-0.15,0.19999999999999996
